episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,1.0
4,0.975
5,1.0
6,1.0
7,1.0
8,1.0
9,0.9444444444444444
10,0.9655172413793104
11,1.0
12,1.0
13,1.0
14,0.8823529411764706
15,0.9285714285714286
16,0.95
17,1.0
18,1.0
19,0.9230769230769231
20,0.8928571428571429
21,0.8787878787878788
22,0.92
23,0.95
24,1.0
25,0.9166666666666666
26,0.875
27,0.6666666666666666
28,0.8235294117647058
29,0.875
30,0.8666666666666667
31,0.8275862068965517
32,0.8
33,0.8823529411764706
34,0.9
35,0.9166666666666666
36,1.0
37,0.9090909090909091
38,0.9285714285714286
39,0.8275862068965517
40,0.9705882352941176
41,0.8421052631578947
42,0.95
43,0.8461538461538461
44,0.75
45,0.8
46,0.8125
47,0.8723404255319149
48,0.875
49,0.8148148148148148
50,0.896551724137931
51,0.7777777777777778
52,0.8
53,0.6190476190476191
54,0.8125
55,0.7391304347826086
56,0.8235294117647058
57,0.75
58,0.7272727272727273
59,0.75
60,0.7272727272727273
61,0.8125
62,0.631578947368421
63,0.7857142857142857
64,0.7857142857142857
65,0.6
66,0.5294117647058824
67,0.6153846153846154
68,0.7272727272727273
69,0.64
70,0.5625
71,0.7692307692307693
72,0.5714285714285714
73,0.6666666666666666
74,0.6
75,0.782608695652174
76,0.631578947368421
77,0.7272727272727273
78,0.7619047619047619
79,0.7692307692307693
80,0.8666666666666667
81,0.7
82,0.3
83,0.7213114754098361
84,0.6190476190476191
85,0.5384615384615384
86,0.7288135593220338
87,0.7
88,0.6111111111111112
89,0.5833333333333334
90,0.9285714285714286
91,0.7142857142857143
92,0.5294117647058824
93,0.45454545454545453
94,0.4666666666666667
95,0.6410256410256411
96,0.56
97,0.4166666666666667
98,0.6
99,0.65
100,0.6666666666666666
101,0.4
102,0.6363636363636364
103,0.5384615384615384
104,0.4
105,0.6153846153846154
106,0.5384615384615384
107,0.42857142857142855
108,0.4090909090909091
109,0.8461538461538461
110,0.5833333333333334
111,0.46153846153846156
112,0.6153846153846154
113,0.5625
114,0.5
115,0.7777777777777778
116,0.5853658536585366
117,0.6666666666666666
118,0.46153846153846156
119,0.3333333333333333
120,0.5
121,0.5384615384615384
122,0.48
123,0.5454545454545454
124,0.6875
125,0.6190476190476191
126,0.5833333333333334
127,0.4375
128,0.4
129,0.46153846153846156
130,0.36363636363636365
131,0.5714285714285714
132,0.4166666666666667
133,0.4
134,0.5142857142857142
135,0.6153846153846154
136,0.4222222222222222
