epoch,r2score
0,-0.7017821152765229
1,-0.6841042665347041
2,-0.6653278179934545
3,-0.6452747229868496
4,-0.6238115373300905
5,-0.60072079826776
6,-0.5758422591753087
7,-0.5490113301102533
8,-0.5200900311311505
9,-0.48895776621660225
10,-0.4554448185218063
11,-0.4193692170161669
12,-0.38057112588740605
13,-0.33891113255889516
14,-0.29429760381584646
15,-0.24669057325087862
16,-0.1961555534179955
17,-0.14281599404872702
18,-0.08684969229490047
19,-0.02859261597599838
20,0.03154148621898345
21,0.09311683212160848
22,0.15539193794630124
23,0.21757675420429623
24,0.2785223151819348
25,0.33679733054011207
26,0.3908141960776086
27,0.4388415218657722
28,0.4790869086259122
29,0.5097482190920375
30,0.5298036301290419
31,0.5392490532684904
32,0.5399541899547935
33,0.5354321139739426
34,0.5298057567210177
35,0.5267083027261812
36,0.5284634248775502
37,0.535857042831297
38,0.5483113038346149
39,0.5643276632401146
40,0.5820700534905947
41,0.5997821487950843
42,0.6161051328917726
43,0.6301587262351973
44,0.6415938547873832
45,0.6505213375240496
46,0.657353896453688
47,0.6626415545916562
48,0.6670210204347842
49,0.6710872341601171
50,0.675328416053149
51,0.680095268845843
52,0.6855474723722114
53,0.6917337113476907
54,0.6985504993200145
55,0.7057674353888923
56,0.7131221280893179
57,0.7203204903249465
58,0.72710829733868
59,0.7332940696375326
60,0.7388011667585445
61,0.7436569434656097
62,0.7479975988485531
63,0.7520256364387135
64,0.7559539537094664
65,0.7599549764594062
66,0.7641675549563416
67,0.7685891086013598
68,0.7731205200816371
69,0.777585664525051
70,0.7819130576088705
71,0.7860071113934757
72,0.7898237410342517
73,0.7933803949205427
74,0.7967789265661609
75,0.8001203923242023
76,0.8034796901960534
77,0.8069073295071092
78,0.8104165115586144
79,0.813973484476666
80,0.8175129061182601
81,0.8209765925549983
82,0.8243229049638165
83,0.8275396164454951
84,0.8306282516425535
85,0.8335924953292588
86,0.8364272474534638
87,0.8391448413862096
88,0.8417374689707766
89,0.8442076304485175
90,0.8465564268734098
91,0.8488138872529567
92,0.8510199637711775
93,0.8531965711319593
94,0.8553359541574301
95,0.8574049957660922
96,0.8593798535302926
97,0.8612597789587513
98,0.8630709357897729
99,0.8648608312553443
