episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,0.967741935483871
23,1.0
24,0.9444444444444444
25,0.8888888888888888
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.9523809523809523
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.9090909090909091
49,0.9836065573770492
50,1.0
51,1.0
52,1.0
53,0.9047619047619048
54,1.0
55,1.0
56,0.975
57,0.9666666666666667
58,1.0
59,0.9473684210526315
60,0.9791666666666666
61,0.9655172413793104
62,1.0
63,0.9333333333333333
64,1.0
65,1.0
66,1.0
67,0.8
68,1.0
69,0.96875
70,0.9655172413793104
71,1.0
72,0.9655172413793104
73,1.0
74,0.9583333333333334
75,1.0
76,0.8888888888888888
77,1.0
78,0.96
79,1.0
80,1.0
81,0.9523809523809523
82,0.9555555555555556
83,1.0
84,0.9285714285714286
85,1.0
86,0.967741935483871
87,0.9807692307692307
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,0.9117647058823529
94,1.0
95,1.0
96,1.0
97,0.9259259259259259
98,0.9473684210526315
99,1.0
100,0.9090909090909091
101,0.8823529411764706
102,1.0
103,0.9523809523809523
104,0.9375
105,1.0
106,0.9444444444444444
107,0.9090909090909091
108,0.9047619047619048
109,0.8333333333333334
110,1.0
111,0.9210526315789473
112,1.0
113,1.0
114,0.9166666666666666
115,1.0
116,1.0
117,0.9473684210526315
118,0.9333333333333333
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,0.9545454545454546
125,0.9166666666666666
126,0.9655172413793104
127,0.9473684210526315
128,1.0
129,1.0
130,0.9230769230769231
131,0.9090909090909091
132,0.9444444444444444
133,0.9285714285714286
134,0.9583333333333334
135,0.896551724137931
136,1.0
137,0.9565217391304348
138,0.8837209302325582
139,0.9565217391304348
140,1.0
141,1.0
142,0.9444444444444444
143,0.8888888888888888
144,1.0
145,0.9714285714285714
146,0.9166666666666666
147,0.9565217391304348
148,1.0
149,0.8823529411764706
150,0.9555555555555556
151,0.9090909090909091
152,0.9090909090909091
153,1.0
154,1.0
155,0.875
156,0.9375
157,0.85
158,0.926829268292683
