episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.9473684210526315
6,1.0
7,0.9565217391304348
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.9545454545454546
16,0.9722222222222222
17,0.9743589743589743
18,1.0
19,1.0
20,0.9761904761904762
21,1.0
22,0.8571428571428571
23,1.0
24,0.96
25,1.0
26,1.0
27,0.9375
28,0.9782608695652174
29,1.0
30,0.9473684210526315
31,1.0
32,1.0
33,0.8823529411764706
34,1.0
35,1.0
36,0.9423076923076923
37,0.9423076923076923
38,1.0
39,0.8636363636363636
40,0.9743589743589743
41,0.9545454545454546
42,1.0
43,1.0
44,0.9322033898305084
45,0.9459459459459459
46,1.0
47,1.0
48,0.9642857142857143
49,0.8695652173913043
50,0.8571428571428571
51,1.0
52,0.9772727272727273
53,0.875
54,0.9333333333333333
55,1.0
56,0.8333333333333334
57,0.9230769230769231
58,0.9285714285714286
59,0.95
60,0.8181818181818182
61,1.0
62,0.9166666666666666
63,0.8333333333333334
64,0.9473684210526315
65,0.9285714285714286
66,0.9111111111111111
67,1.0
68,0.9375
69,0.9523809523809523
70,0.9523809523809523
71,0.9545454545454546
72,0.9230769230769231
73,1.0
74,0.9375
75,1.0
76,1.0
77,0.9142857142857143
78,0.95
79,0.8571428571428571
80,1.0
81,0.8947368421052632
82,1.0
83,0.9047619047619048
84,1.0
85,0.9090909090909091
86,0.875
87,0.9
88,0.8333333333333334
89,0.8888888888888888
90,0.8571428571428571
91,0.896551724137931
92,0.75
93,0.9
94,0.9130434782608695
95,1.0
96,0.8888888888888888
97,0.96
98,0.782608695652174
99,0.8
100,0.8571428571428571
101,0.8518518518518519
102,0.9545454545454546
103,0.9090909090909091
104,0.7142857142857143
105,1.0
106,0.9117647058823529
107,0.8888888888888888
108,0.75
109,0.6923076923076923
110,0.8
111,0.9473684210526315
112,0.8888888888888888
113,0.8679245283018868
114,0.85
115,0.9473684210526315
116,0.8947368421052632
117,0.9285714285714286
118,1.0
119,0.8333333333333334
120,0.875
121,0.8235294117647058
122,0.875
123,0.8823529411764706
124,0.9230769230769231
125,0.9615384615384616
126,0.9047619047619048
127,0.9090909090909091
128,0.7272727272727273
129,0.9375
130,0.8181818181818182
131,0.8181818181818182
132,0.7941176470588235
133,0.8846153846153846
134,0.8888888888888888
135,0.8888888888888888
136,0.7
137,0.875
138,0.7142857142857143
139,0.8
140,0.9473684210526315
141,0.75
142,0.84
