episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.8888888888888888
15,1.0
16,0.9772727272727273
17,0.9333333333333333
18,1.0
19,0.9736842105263158
20,1.0
21,1.0
22,1.0
23,1.0
24,0.9230769230769231
25,1.0
26,0.9615384615384616
27,0.8947368421052632
28,0.9069767441860465
29,0.9444444444444444
30,1.0
31,1.0
32,0.9444444444444444
33,1.0
34,0.9629629629629629
35,0.9285714285714286
36,1.0
37,1.0
38,0.9333333333333333
39,0.9166666666666666
40,0.9180327868852459
41,0.9285714285714286
42,1.0
43,1.0
44,0.9130434782608695
45,0.9
46,1.0
47,0.9166666666666666
48,0.9333333333333333
49,1.0
50,1.0
51,0.9259259259259259
52,0.9347826086956522
53,0.95
54,1.0
55,0.9411764705882353
56,0.9615384615384616
57,0.9
58,0.9142857142857143
59,0.8888888888888888
60,0.9090909090909091
61,0.8666666666666667
62,0.95
63,0.8518518518518519
64,0.8235294117647058
65,0.9130434782608695
66,0.9375
67,1.0
68,0.8666666666666667
69,0.9117647058823529
70,1.0
71,0.8055555555555556
72,0.9032258064516129
73,1.0
74,0.9259259259259259
75,0.9090909090909091
76,0.9090909090909091
77,0.8846153846153846
78,0.8823529411764706
79,0.9473684210526315
80,0.9
81,0.8648648648648649
82,0.8214285714285714
83,0.8333333333333334
84,0.8571428571428571
85,0.8888888888888888
86,0.9166666666666666
87,0.9047619047619048
88,0.95
89,0.9333333333333333
90,0.8055555555555556
91,1.0
92,0.9333333333333333
93,0.9090909090909091
94,0.9
95,0.9722222222222222
96,0.85
97,1.0
98,0.9230769230769231
99,1.0
100,1.0
101,0.8620689655172413
102,0.8421052631578947
103,0.8333333333333334
104,0.8333333333333334
105,0.8235294117647058
106,0.8863636363636364
107,0.88
108,0.75
109,0.8
110,0.85
111,0.8085106382978723
112,0.84375
113,0.9047619047619048
114,0.9285714285714286
115,0.8444444444444444
116,0.9
117,0.8163265306122449
118,0.8823529411764706
119,0.8333333333333334
120,1.0
121,0.8636363636363636
122,0.9166666666666666
123,0.7368421052631579
124,1.0
125,0.85
126,0.8095238095238095
127,0.8507462686567164
128,0.9285714285714286
129,0.7954545454545454
130,0.8333333333333334
131,0.6875
132,0.7368421052631579
133,0.8529411764705882
134,0.9523809523809523
135,0.8181818181818182
136,0.7619047619047619
137,0.8846153846153846
138,0.8
