episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.9661016949152542
13,0.9473684210526315
14,1.0
15,0.9
16,0.9333333333333333
17,1.0
18,0.9722222222222222
19,1.0
20,0.9642857142857143
21,1.0
22,0.96
23,0.9166666666666666
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.975
31,0.9545454545454546
32,1.0
33,0.9375
34,0.92
35,0.9523809523809523
36,0.9615384615384616
37,0.9166666666666666
38,0.9130434782608695
39,0.8983050847457628
40,0.8888888888888888
41,0.8928571428571429
42,1.0
43,1.0
44,1.0
45,0.9130434782608695
46,1.0
47,0.8888888888888888
48,0.9
49,0.9583333333333334
50,1.0
51,1.0
52,0.9375
53,0.975609756097561
54,0.975
55,0.9545454545454546
56,0.8666666666666667
57,0.9655172413793104
58,0.9705882352941176
59,0.9166666666666666
60,1.0
61,0.8571428571428571
62,0.9285714285714286
63,0.875
64,0.9230769230769231
65,0.9259259259259259
66,0.9487179487179487
67,0.9090909090909091
68,1.0
69,0.9696969696969697
70,0.9333333333333333
71,1.0
72,0.8307692307692308
73,0.875
74,1.0
75,1.0
76,1.0
77,0.88
78,0.926829268292683
79,1.0
80,1.0
81,0.8461538461538461
82,0.8275862068965517
83,0.7894736842105263
84,0.9090909090909091
85,0.972972972972973
86,1.0
87,0.8928571428571429
88,0.8888888888888888
89,0.9230769230769231
90,0.9285714285714286
91,0.8611111111111112
92,0.8888888888888888
93,0.8823529411764706
94,0.8333333333333334
95,0.9487179487179487
96,0.8857142857142857
97,0.9
98,0.8888888888888888
99,0.9411764705882353
100,0.9142857142857143
101,0.9444444444444444
102,0.75
103,0.8723404255319149
104,0.9142857142857143
105,0.8636363636363636
106,0.8333333333333334
107,1.0
108,0.8688524590163934
109,0.8333333333333334
110,0.8333333333333334
111,0.9032258064516129
112,0.8125
113,0.6666666666666666
114,0.9090909090909091
115,1.0
116,0.9523809523809523
117,0.8947368421052632
118,0.8095238095238095
119,0.7931034482758621
120,0.9230769230769231
121,0.7948717948717948
122,0.9
123,0.8571428571428571
124,0.9104477611940298
125,0.8913043478260869
126,0.8235294117647058
127,0.967741935483871
128,0.88
129,1.0
130,0.7894736842105263
131,0.8695652173913043
132,0.9
133,0.851063829787234
134,1.0
135,0.8518518518518519
136,0.7916666666666666
137,0.8163265306122449
138,0.8888888888888888
139,0.8484848484848485
