episode_E,Exploration Evolution
0,1.0
1,1.0
2,1.0
3,0.9444444444444444
4,1.0
5,1.0
6,1.0
7,1.0
8,0.9473684210526315
9,0.972972972972973
10,1.0
11,0.9
12,1.0
13,0.9705882352941176
14,1.0
15,1.0
16,0.8
17,1.0
18,1.0
19,1.0
20,0.9444444444444444
21,0.9565217391304348
22,0.9375
23,1.0
24,0.9230769230769231
25,0.9629629629629629
26,1.0
27,0.9636363636363636
28,0.96
29,1.0
30,1.0
31,0.9318181818181818
32,1.0
33,1.0
34,0.9605263157894737
35,1.0
36,0.9545454545454546
37,0.90625
38,0.92
39,0.9047619047619048
40,1.0
41,0.925
42,0.9411764705882353
43,1.0
44,0.9411764705882353
45,0.9642857142857143
46,1.0
47,0.9615384615384616
48,1.0
49,0.9473684210526315
50,0.8947368421052632
51,1.0
52,1.0
53,0.9411764705882353
54,0.9
55,0.9259259259259259
56,0.9574468085106383
57,0.9166666666666666
58,0.9130434782608695
59,0.8333333333333334
60,0.9375
61,0.8888888888888888
62,0.8695652173913043
63,1.0
64,0.8666666666666667
65,0.9090909090909091
66,1.0
67,0.9117647058823529
68,0.88
69,0.9393939393939394
70,0.9259259259259259
71,0.8666666666666667
72,1.0
73,0.8478260869565217
74,0.967741935483871
75,0.9333333333333333
76,0.9090909090909091
77,1.0
78,0.7777777777777778
79,0.9130434782608695
80,0.8846153846153846
81,0.8571428571428571
82,1.0
83,1.0
84,0.8571428571428571
85,0.9
86,1.0
87,0.9333333333333333
88,0.875
89,0.8392857142857143
90,0.8958333333333334
91,0.9333333333333333
92,0.9444444444444444
93,0.9122807017543859
94,0.8823529411764706
95,0.92
96,0.9722222222222222
97,0.8518518518518519
98,0.9166666666666666
99,0.7647058823529411
100,0.8095238095238095
101,0.8070175438596491
102,0.9090909090909091
103,0.8333333333333334
104,1.0
105,0.9318181818181818
106,0.9333333333333333
107,0.9285714285714286
108,0.9166666666666666
109,0.9473684210526315
110,0.875
111,0.918918918918919
112,1.0
113,0.8095238095238095
114,0.7
115,0.72
116,1.0
117,0.8205128205128205
118,0.7692307692307693
119,0.8823529411764706
120,0.8125
121,0.9090909090909091
122,0.7058823529411765
123,0.8888888888888888
124,0.8709677419354839
125,1.0
126,0.9230769230769231
127,0.8269230769230769
128,0.75
129,0.6470588235294118
130,0.9523809523809523
131,0.8846153846153846
132,0.7931034482758621
133,0.9090909090909091
134,0.9545454545454546
135,0.7058823529411765
136,0.75
137,0.7619047619047619
138,0.7916666666666666
